TITLE: ICICI Bank Credit Card Welcome Kit: Unveiling Exclusive Benefits
URL: https://www.icicibank.com/personal-banking/cards/credit-card/membership-kits

ICICI Bank Credit Cards are designed to deliver superior value and are powered by unique benefits and programs crafted to suit premium lifestyles.
We have now digitised our Membership Kits as part of the GoGreen initiative, an endeavour to reduce use of paper and make our contribution to this noble cause. The Membership Kit includes the Membership Guide, Terms and Conditions and Most Important Terms and Conditions (MITC) in a downloadable Portable Document Format (PDF) format.
| Name of the Card | Membership Guide | MITC | Terms and Conditions | 
|---|---|---|---|
| Emeralde Private Metal Credit Card | Membership Guide (PDF, 1.23 MB) | MITC (PDF, 855 KB) | Terms and Conditions (PDF, 379 KB) Product Video | 
| ICICI Bank Emeralde Credit Cards | Membership Guide (PDF, 662 KB) | MITC (PDF, 855 KB) | Terms and Conditions | 
| ICICI Bank Sapphiro Credit Cards | Membership Guide (PDF, 779 KB) | MITC (PDF, 855 KB) | Terms and Conditions | 
| ICICI Bank Rubyx Credit Cards | - | MITC (PDF, 855 KB) | Terms & Conditions | 
| ICICI Bank NRI Coral Credit Cards | Membership Guide (PDF, 1.21 MB) | MITC (PDF, 844 KB) | Terms and Conditions | 
| ICICI Bank NRI Sapphiro Credit Card | Membership Guide (PDF, 787 KB) | MITC | Terms and Conditions (PDF, 855 KB) | 
| ICICI Bank Rubyx Credit Card against Fixed Deposit | Membership Guide | MITC | Terms and Conditions | 
| ICICI Bank Coral Credit Card | Membership Guide | MITC | Terms and Conditions | 
| ICICI Bank Coral RuPay Credit Card | - | MITC | Terms and Conditions | 
| ICICI Bank Rubyx Master Card | Membership Guide | - | - | 
| ICICI Bank Sapphiro Master Card | Membership Guide | - | - | 
| Name of the Card | Product Terms and Conditions | Terms and Conditions | 
|---|---|---|
| InterMiles ICICI Bank Coral American Express Credit Card | Product Terms and Conditions | Terms and Conditions | 
| InterMiles ICICI Bank Coral American Express Credit Card | Product Terms and Conditions | Terms and Conditions | 
| InterMiles ICICI Bank Coral Visa Credit Card | Product Terms and Conditions | Terms and Conditions | 
| InterMiles ICICI Bank Rubyx Visa Credit Card | Product Terms and Conditions | Terms and Conditions | 
| InterMiles ICICI Bank Sapphiro American Express Credit Card | Product Terms and Conditions | Terms and Conditions | 
| InterMiles ICICI Bank Sapphiro Visa Credit Card | Product Terms and Conditions | Terms and Conditions | 
| Name of the Card | Membership Guide and Credit Builder Guide | Terms and Conditions | 
|---|---|---|
| Mine Credit Card by ICICI Bank | Membership Guide | Terms and Conditions MITC | 
| ICICI Bank Instant Platinum Credit Card | Membership Guide Credit Builder Guide | Terms and Conditions MITC | 
| ICICI Bank Expressions Credit Card | Membership Guide | T&C Specific to Expressions Credit Card Terms and Conditions MITC | 
| ICICI Bank Chennai Super Kings (CSK) Premium Visa Card | E-Membership Guide | T&C Specific to CSK Premium Visa Card Terms and Conditions MITC | 
| ICICI Bank Parakram Credit Card | E-Membership Guide | MITC | 
| ICICI Bank Parakram Select Credit Card | E-Membership Guide | MITC |
